,Sum(MKT) - Sum(PROD) - All Sales,
,,
 ,$ Vol, 
1wk June 03 2017,"4,738,348", 
1wk June 10 2017,"4,705,692", 
1wk June 17 2017,"4,651,981", 
1wk June 24 2017,"4,706,653", 
1wk July 01 2017,"4,781,933", 
1wk July 08 2017,"4,621,558", 
1wk July 15 2017,"4,411,577", 
1wk July 22 2017,"4,578,310", 
1wk July 29 2017,"4,485,428", 
1wk Aug 05 2017,"4,608,805", 
1wk Aug 12 2017,"4,357,678", 
1wk Aug 19 2017,"4,519,364", 
1wk Aug 26 2017,"4,455,918", 
1wk Sept 02 2017,"4,985,643", 
1wk Sept 09 2017,"5,136,910", 
1wk Sept 16 2017,"4,848,086", 
1wk Sept 23 2017,"5,099,424", 
1wk Sept 30 2017,"4,978,163", 
1wk Oct 07 2017,"5,639,529", 
1wk Oct 14 2017,"4,802,543", 
1wk Oct 21 2017,"5,056,267", 
1wk Oct 28 2017,"4,866,826", 
1wk Nov 04 2017,"5,162,269", 
1wk Nov 11 2017,"5,089,039", 
1wk Nov 18 2017,"5,282,670", 
1wk Nov 25 2017,"5,131,392", 
1wk Dec 02 2017,"5,508,597", 
1wk Dec 09 2017,"5,786,458", 
1wk Dec 16 2017,"5,942,944", 
1wk Dec 23 2017,"7,377,087", 
1wk Dec 30 2017,"5,156,522", 
1wk Jan 06 2018,"4,794,584", 
1wk Jan 13 2018,"4,850,590", 
1wk Jan 20 2018,"4,903,783", 
1wk Jan 27 2018,"4,868,601", 
1wk Feb 03 2018,"5,228,292", 
1wk Feb 10 2018,"4,937,106", 
1wk Feb 17 2018,"4,728,963", 
1wk Feb 24 2018,"4,848,880", 
1wk Mar 03 2018,"5,021,110", 
1wk Mar 10 2018,"4,897,800", 
1wk Mar 17 2018,"4,717,786", 
1wk Mar 24 2018,"5,073,756", 
1wk Mar 31 2018,"5,109,157", 
1wk Apr 07 2018,"4,532,585", 
1wk Apr 14 2018,"4,754,452", 
1wk Apr 21 2018,"4,848,389", 
1wk Apr 28 2018,"4,552,284", 
1wk May 05 2018,"4,689,253", 
1wk May 12 2018,"4,599,027", 
1wk May 19 2018,"4,641,473", 
1wk May 26 2018,"4,561,537", 
1wk June 02 2018,"4,695,505", 
1wk June 09 2018,"4,725,503", 
1wk June 16 2018,"4,577,661", 
1wk June 23 2018,"4,603,869", 
1wk June 30 2018,"4,598,214", 
1wk July 07 2018,"4,270,267", 
1wk July 14 2018,"4,198,290", 
1wk July 21 2018,"4,381,042", 
1wk July 28 2018,"4,468,051", 
1wk Aug 04 2018,"4,482,415", 
1wk Aug 11 2018,"4,271,152", 
1wk Aug 18 2018,"4,402,885", 
1wk Aug 25 2018,"4,394,620", 
1wk Sept 01 2018,"4,741,021", 
1wk Sept 08 2018,"4,869,280", 
1wk Sept 15 2018,"4,809,522", 
1wk Sept 22 2018,"4,910,474", 
1wk Sept 29 2018,"5,184,022", 
1wk Oct 06 2018,"5,559,119", 
1wk Oct 13 2018,"4,959,846", 
1wk Oct 20 2018,"4,872,616", 
1wk Oct 27 2018,"4,861,810", 
1wk Nov 03 2018,"4,965,344", 
1wk Nov 10 2018,"4,990,153", 
1wk Nov 17 2018,"5,102,922", 
1wk Nov 24 2018,"5,332,490", 
1wk Dec 01 2018,"5,724,379", 
1wk Dec 08 2018,"6,019,494", 
1wk Dec 15 2018,"5,972,074", 
1wk Dec 22 2018,"7,036,672", 
1wk Dec 29 2018,"5,577,825", 
1wk Jan 05 2019,"4,668,360", 
1wk Jan 12 2019,"4,633,694", 
1wk Jan 19 2019,"4,686,903", 
1wk Jan 26 2019,"4,812,560", 
1wk Feb 02 2019,"4,886,951", 
1wk Feb 09 2019,"4,866,056", 
1wk Feb 16 2019,"4,543,862", 
1wk Feb 23 2019,"4,519,426", 
1wk Mar 02 2019,"4,704,640", 
1wk Mar 09 2019,"4,731,785", 
1wk Mar 16 2019,"4,494,936", 
1wk Mar 23 2019,"4,544,241", 
1wk Mar 30 2019,"4,695,176", 
1wk Apr 06 2019,"4,922,314", 
1wk Apr 13 2019,"4,719,809", 
1wk Apr 20 2019,"5,222,621", 
1wk Apr 27 2019,"4,369,557", 
1wk May 04 2019,"4,780,487", 
1wk May 11 2019,"4,581,560", 
1wk May 18 2019,"4,762,919", 
1wk May 25 2019,"4,681,500", 
1wk June 01 2019,"4,731,235", 
1wk June 08 2019,"4,779,026", 
1wk June 15 2019,"4,692,633", 
1wk June 22 2019,"4,584,696", 
1wk June 29 2019,"4,674,226", 
1wk July 06 2019,"4,508,989", 
1wk July 13 2019,"4,427,541", 
1wk July 20 2019,"4,428,464", 
1wk July 27 2019,"4,310,216", 
1wk Aug 03 2019,"4,593,644", 
1wk Aug 10 2019,"4,351,194", 
1wk Aug 17 2019,"4,298,887", 
1wk Aug 24 2019,"4,534,734", 
1wk Aug 31 2019,"4,890,924", 
1wk Sept 07 2019,"4,947,825", 
1wk Sept 14 2019,"4,806,349", 
1wk Sept 21 2019,"4,794,852", 
1wk Sept 28 2019,"5,051,647", 
1wk Oct 05 2019,"5,308,203", 
1wk Oct 12 2019,"5,335,820", 
1wk Oct 19 2019,"4,894,395", 
1wk Oct 26 2019,"4,896,424", 
1wk Nov 02 2019,"4,926,720", 
1wk Nov 09 2019,"5,123,793", 
1wk Nov 16 2019,"5,166,640", 
1wk Nov 23 2019,"5,378,845", 
1wk Nov 30 2019,"5,460,860", 
1wk Dec 07 2019,"6,047,748", 
1wk Dec 14 2019,"6,086,059", 
1wk Dec 21 2019,"6,553,147", 
1wk Dec 28 2019,"6,436,494", 
1wk Jan 04 2020,"4,512,303", 
1wk Jan 11 2020,"4,823,841", 
1wk Jan 18 2020,"4,747,944", 
1wk Jan 25 2020,"5,046,380", 
1wk Feb 01 2020,"5,023,237", 
1wk Feb 08 2020,"4,851,809", 
1wk Feb 15 2020,"4,692,834", 
1wk Feb 22 2020,"4,587,960", 
1wk Feb 29 2020,"4,867,816", 
1wk Mar 07 2020,"5,352,268", 
1wk Mar 14 2020,"6,259,277", 
1wk Mar 21 2020,"7,979,716", 
1wk Mar 28 2020,"5,543,066", 
1wk Apr 04 2020,"5,492,229", 
1wk Apr 11 2020,"5,807,588", 
1wk Apr 18 2020,"5,129,977", 
1wk Apr 25 2020,"5,092,299", 
1wk May 02 2020,"5,127,934", 
1wk May 09 2020,"5,112,073", 
1wk May 16 2020,"4,946,844", 
1wk May 23 2020,"4,918,430", 
1wk May 30 2020,"4,781,632", 
1wk June 06 2020,"4,896,463", 
1wk June 13 2020,"4,754,267", 
1wk June 20 2020,"4,782,493", 
