 ,RITZ,Triscuits,Bold N Baked,Bear Paws Crackers,Wheat Thins,Goldfish,Keebler Townhouse,Cheez It
1wk June 03 2017,1385770.00,801235.00,0.00,0.00,515296.00,1360895.00,0.00,0.00
1wk June 10 2017,1328707.00,824396.00,0.00,0.00,516499.00,1454346.00,0.00,0.00
1wk June 17 2017,1397141.00,796008.00,0.00,0.00,510694.00,1476074.00,0.00,0.00
1wk June 24 2017,1410617.00,845649.00,0.00,0.00,541088.00,1542905.00,0.00,0.00
1wk July 01 2017,1339016.00,850580.00,0.00,0.00,531712.00,1368625.00,0.00,0.00
1wk July 08 2017,1243934.00,730862.00,0.00,0.00,494726.00,1197797.00,0.00,0.00
1wk July 15 2017,1103204.00,649896.00,0.00,0.00,498697.00,1158428.00,0.00,0.00
1wk July 22 2017,1196984.00,669197.00,0.00,0.00,525355.00,1219358.00,0.00,0.00
1wk July 29 2017,1224473.00,673899.00,0.00,0.00,520867.00,1107046.00,0.00,0.00
1wk Aug 05 2017,1200971.00,698363.00,0.00,0.00,528909.00,1121717.00,0.00,0.00
1wk Aug 12 2017,1165105.00,666235.00,0.00,0.00,484611.00,1114883.00,0.00,0.00
1wk Aug 19 2017,1301856.00,707243.00,0.00,0.00,509793.00,1359294.00,0.00,0.00
1wk Aug 26 2017,1256794.00,701574.00,0.00,0.00,492717.00,1488094.00,0.00,0.00
1wk Sept 02 2017,1575438.00,815397.00,0.00,0.00,576971.00,1779156.00,0.00,0.00
1wk Sept 09 2017,1495992.00,723017.00,0.00,0.00,546515.00,1874013.00,0.00,0.00
1wk Sept 16 2017,1302083.00,678375.00,0.00,0.00,484646.00,1566696.00,0.00,0.00
1wk Sept 23 2017,1426136.00,739269.00,0.00,0.00,520271.00,1520357.00,0.00,0.00
1wk Sept 30 2017,1368556.00,715869.00,0.00,0.00,521413.00,1423795.00,0.00,0.00
1wk Oct 07 2017,1610889.00,950807.00,0.00,0.00,665229.00,1547234.00,0.00,0.00
1wk Oct 14 2017,1310255.00,702952.00,0.00,0.00,467574.00,1311773.00,0.00,0.00
1wk Oct 21 2017,1320062.00,745382.00,0.00,0.00,498513.00,1669679.00,0.00,0.00
1wk Oct 28 2017,1324727.00,724184.00,0.00,0.00,495287.00,1748692.00,0.00,0.00
1wk Nov 04 2017,1410667.00,881709.00,0.00,0.00,548780.00,1735446.00,0.00,0.00
1wk Nov 11 2017,1446909.00,843738.00,0.00,0.00,476666.00,1352694.00,0.00,0.00
1wk Nov 18 2017,1482207.00,886811.00,0.00,0.00,535730.00,1395331.00,0.00,0.00
1wk Nov 25 2017,1534678.00,877638.00,0.00,0.00,542770.00,1468834.00,0.00,0.00
1wk Dec 02 2017,1677196.00,994698.00,0.00,0.00,601654.00,1446512.00,0.00,0.00
1wk Dec 09 2017,1829672.00,1121926.00,0.00,0.00,641878.00,1465030.00,0.00,0.00
1wk Dec 16 2017,1940390.00,1246154.00,0.00,0.00,708435.00,1388725.00,0.00,0.00
1wk Dec 23 2017,2064702.00,1445389.00,0.00,0.00,866131.00,1227282.00,0.00,0.00
1wk Dec 30 2017,1281731.00,996565.00,0.00,0.00,564561.00,694254.00,0.00,0.00
1wk Jan 06 2018,1213620.00,804489.00,0.00,0.00,490288.00,1026312.00,0.00,0.00
1wk Jan 13 2018,1319318.00,773357.00,0.00,0.00,493923.00,1753276.00,0.00,0.00
