,RITZ,Triscuits,Bold N Baked,Bear Paws Crackers,Wheat Thins,Goldfish,Keebler Townhouse,Cheez It,Vinta,Breton,Veggie Crisps,All Other
1wk Dec 28 2019,1917049,1378753,343,45983,736943,815059,207968,2476,341254,1405039,109060,5051195
1wk Jan 04 2020,1258359,857393,5982,52024,467262,1018980,141616,62402,205553,882060,102155,3515681
1wk Jan 11 2020,1382165,797195,28709,109106,455196,1834217,130268,152228,161994,730098,128860,3891477
1wk Jan 18 2020,1240907,733999,41290,98026,419584,1717619,155151,340481,156452,684933,126827,3833959
1wk Jan 25 2020,1344882,751175,51768,87944,439731,1782708,183789,551093,190202,783737,150260,3967437
1wk Feb 01 2020,1555272,874490,50725,87301,492689,1586336,177038,565447,185399,764245,148015,4010277
1wk Feb 08 2020,1495482,810665,53658,68904,448794,1624824,199088,441140,165702,694689,132347,3971461
1wk Feb 15 2020,1466730,833161,65578,73296,450400,1575798,181443,350653,166212,684429,131775,3824253
1wk Feb 22 2020,1397076,765482,68672,65711,429095,1653349,174042,308858,174063,723178,140148,3641958
1wk Feb 29 2020,1499897,837749,67366,82686,471778,1659428,183185,280991,195429,734622,150159,3849923
1wk Mar 07 2020,1755137,970679,75651,98942,534281,1854844,202044,306646,207501,823151,149280,4308022
1wk Mar 14 2020,1982719,1149819,94051,85427,662080,2421050,252266,367214,249538,945269,161881,5043399
1wk Mar 21 2020,2271854,1473290,100607,90144,822416,2406941,305120,477542,308444,1355026,166471,6449266
1wk Mar 28 2020,1680073,943571,66173,67523,535193,1564608,197126,317401,231674,965211,131370,4429320
1wk Apr 04 2020,1768380,1015909,62254,60871,576818,1441939,202619,334292,230335,873424,120971,4473468
1wk Apr 11 2020,1888553,1038443,65010,66358,573884,1440388,225809,370957,248114,936356,134670,4702780
1wk Apr 18 2020,1683324,988325,59767,57344,532321,1255251,183028,346592,228680,840145,123122,4149185
1wk Apr 25 2020,1550692,953252,66013,67087,519161,1405052,213868,401983,220350,820471,126383,4067321
1wk May 02 2020,1721597,941647,89313,66655,519737,1397748,225085,405365,218920,812316,137772,4122437
1wk May 09 2020,1598228,991293,117671,55395,518581,1397498,201507,366283,225394,827392,148419,4069988
1wk May 16 2020,1509035,955751,110962,61427,484228,1331627,203607,392072,245902,852593,154486,3846713
1wk May 23 2020,1565082,960202,103118,55469,489080,1288486,193359,414230,216818,774321,151977,3926993
1wk May 30 2020,1445418,955536,100085,58031,501010,1312829,193309,413053,214557,749069,164654,3765039
1wk June 06 2020,1484683,853743,96420,71694,437519,1386076,204949,437265,259612,819717,172453,3761079
1wk June 13 2020,1388235,894844,86791,59883,445845,1500071,208283,438983,217161,794441,156352,3674123
1wk June 20 2020,1585628,1074535,82215,52012,545980,1519617,214057,421700,197123,672541,139157,3895662
